id,account_code,account_name,account_type,parent_account_id,account_level,is_transactional,currency,status,created_at,updated_at,short_code,comp_id,location_id
1,100000000000000,Assets,Assets,NULL,1,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
2,100010000000000,"Current Assets",Assets,1,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
3,100020000000000,"Fixed Assets",Assets,1,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
4,100030000000000,"Intangible Assets",Assets,1,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
5,100040000000000,Investments,Assets,1,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
6,100050000000000,"Other Assets",Assets,1,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
7,100010000000000,"Cash Account / Cash In Hand",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,CASH,1,1
8,100010000000000,"Petty Cash Account",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,PETTY,1,1
9,100010000000000,"Bank Account",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,BANK,1,1
10,100010000000000,"Accounts Receivable",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,AR,1,1
11,100010000000000,"Inventory Account",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,INV,1,1
12,100010000000000,"Prepaid Expenses",Assets,2,3,0,USD,Active,"10/6/2025 21:51",NULL,PREP,1,1
13,100020000000000,"Land Account",Assets,3,3,0,USD,Active,"10/6/2025 21:51",NULL,LAND,1,1
14,100020000000000,"Building Account",Assets,3,3,0,USD,Active,"10/6/2025 21:51",NULL,BUILD,1,1
15,100020000000000,"Machinery Account",Assets,3,3,0,USD,Active,"10/6/2025 21:51",NULL,MACH,1,1
16,100020000000000,"Furniture & Fixtures",Assets,3,3,0,USD,Active,"10/6/2025 21:51",NULL,FURN,1,1
17,100020000000000,"Vehicle Account",Assets,3,3,0,USD,Active,"10/6/2025 21:51",NULL,VEH,1,1
18,100030000000000,"Goodwill Account",Assets,4,3,0,USD,Active,"10/6/2025 21:51",NULL,GOOD,1,1
19,100030000000000,"Software License Account",Assets,4,3,0,USD,Active,"10/6/2025 21:51",NULL,SOFT,1,1
20,100030000000000,"Patents & Trademarks",Assets,4,3,0,USD,Active,"10/6/2025 21:51",NULL,PAT,1,1
21,100040000000000,"Long-term Investment Account",Assets,5,3,0,USD,Active,"10/6/2025 21:51",NULL,LTI,1,1
22,100040000000000,"Short-term Investment Account",Assets,5,3,0,USD,Active,"10/6/2025 21:51",NULL,STI,1,1
23,100050000000000,"Deferred Tax Asset",Assets,6,3,0,USD,Active,"10/6/2025 21:51",NULL,DTA,1,1
24,100050000000000,"Security Deposits",Assets,6,3,0,USD,Active,"10/6/2025 21:51",NULL,SEC,1,1
25,100050000000000,"Employee Advances",Assets,6,3,0,USD,Active,"10/6/2025 21:51",NULL,EMP,1,1
26,100010000000000,"Cash in Hand",Assets,7,4,1,USD,Active,"10/6/2025 21:51",NULL,CIH,1,1
27,100010000000000,"Petty Cash",Assets,8,4,1,USD,Active,"10/6/2025 21:51",NULL,PC,1,1
28,100010000000000,"Bank Accounts",Assets,9,4,1,USD,Active,"10/6/2025 21:51",NULL,BA,1,1
29,100010000000000,"Accounts Receivable",Assets,10,4,1,USD,Active,"10/6/2025 21:51",NULL,AR,1,1
30,100010000000000,Inventory,Assets,11,4,1,USD,Active,"10/6/2025 21:51",NULL,INV,1,1
31,100010000000000,"Prepaid Expenses",Assets,12,4,1,USD,Active,"10/6/2025 21:51",NULL,PREP,1,1
32,100020000000000,Land,Assets,13,4,1,USD,Active,"10/6/2025 21:51",NULL,LAND,1,1
33,100020000000000,Buildings,Assets,14,4,1,USD,Active,"10/6/2025 21:51",NULL,BUILD,1,1
34,100020000000000,Machinery,Assets,15,4,1,USD,Active,"10/6/2025 21:51",NULL,MACH,1,1
35,100020000000000,"Furniture and Fixtures",Assets,16,4,1,USD,Active,"10/6/2025 21:51",NULL,FURN,1,1
36,100020000000000,Vehicles,Assets,17,4,1,USD,Active,"10/6/2025 21:51",NULL,VEH,1,1
37,100030000000000,Goodwill,Assets,18,4,1,USD,Active,"10/6/2025 21:51",NULL,GOOD,1,1
38,100030000000000,"Software Licenses",Assets,19,4,1,USD,Active,"10/6/2025 21:51",NULL,SOFT,1,1
39,100030000000000,"Patents and Trademarks",Assets,20,4,1,USD,Active,"10/6/2025 21:51",NULL,PAT,1,1
40,100040000000000,"Long-term Investments",Assets,21,4,1,USD,Active,"10/6/2025 21:51",NULL,LTI,1,1
41,100040000000000,"Short-term Investments",Assets,22,4,1,USD,Active,"10/6/2025 21:51",NULL,STI,1,1
42,100050000000000,"Deferred Tax Asset",Assets,23,4,1,USD,Active,"10/6/2025 21:51",NULL,DTA,1,1
43,100050000000000,"Security Deposits",Assets,24,4,1,USD,Active,"10/6/2025 21:51",NULL,SEC,1,1
44,100050000000000,"Employee Advances",Assets,25,4,1,USD,Active,"10/6/2025 21:51",NULL,EMP,1,1
45,200000000000000,Liabilities,Liabilities,NULL,1,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
46,200010000000000,"Current Liabilities",Liabilities,45,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
47,200020000000000,"Long-term Liabilities",Liabilities,45,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
48,200030000000000,Provisions,Liabilities,45,2,0,USD,Active,"10/6/2025 21:51",NULL,NULL,1,1
